AccountID,avg_amount,amount_std,transaction_count,avg_login,dbscan_risk,lof_risk,preferred_type,risk_score,ml_risk_score,final_risk_score,retention_segment,recommended_action,recommended_offer,communication_plan,expected_uplift
AC00014,346.8734375,248.61497089338476,32,1.0,0.0,0.0,Debit,2694.935214775488,0.0,1347.467607387744,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00015,225.04545454545453,274.61594634556957,11,1.0,0.0,0.0,Debit,5618.278622953658,0.0,2809.139311476829,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00016,443.49227272727273,443.55151248521526,22,1.0,0.0,0.0,Debit,8941.43906373856,0.0,4470.71953186928,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00017,235.26473684210524,169.0482014879655,19,1.0,0.0,0.0,Debit,2093.2146601833015,0.0,1046.6073300916507,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00018,557.5122222222221,523.0272790394823,9,2.3333333333333335,0.0,0.0,Debit,32399.340913422573,0.0,16199.670456711287,High-Value At Risk,Proactive Outreach,Premium fraud protection + rewards,Dedicated manager,15–20%
AC00019,184.03307692307692,174.15377569763908,13,1.0,0.0,0.0,Debit,2465.388671847633,0.0,1232.6943359238164,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00020,433.1973076923077,241.736386447017,26,1.0,0.0,0.038461538461538464,Debit,4027.6749135553882,0.019230769230769232,2013.8470721623096,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00021,648.2033333333334,344.45646119476925,18,1.0,0.0,0.05555555555555555,Credit,12404.322996129467,0.027777777777777776,6202.175386953622,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00022,253.85625,231.2133257366761,8,1.0,0.0,0.0,Debit,7336.86756058419,0.0,3668.433780292095,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00023,196.63583333333335,130.0755294894843,12,1.5,0.0,0.0,Debit,2131.45900049836,0.0,1065.72950024918,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00024,225.6357142857143,286.954909985585,14,1.0,0.0,0.07142857142857142,Credit,4624.80510411323,0.03571428571428571,2312.4204091994725,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00025,235.592,156.14210297033915,5,1.0,0.0,0.0,Credit,7357.16459316471,0.0,3678.582296582355,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00026,213.40363636363637,123.93646390572285,11,1.0,0.0,0.0,Credit,2404.408151920334,0.0,1202.204075960167,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00027,182.89,136.42235290240586,8,1.0,0.0,0.0,Credit,3118.785125441985,0.0,1559.3925627209926,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00028,645.53125,646.8515940071903,8,1.0,0.0,0.0,Debit,52195.35823107448,0.0,26097.67911553724,High-Value At Risk,Proactive Outreach,Premium fraud protection + rewards,Dedicated manager,15–20%
AC00029,219.98454545454544,337.5981466881487,11,1.0,0.0,0.0,Debit,6751.488008545577,0.0,3375.7440042727885,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00030,343.3296296296296,130.418714044168,27,1.0740740740740742,0.0,0.0,Debit,1658.3928567097748,0.0,829.1964283548874,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00032,390.3269230769231,269.76904459584284,26,2.076923076923077,0.0,0.0,Debit,4049.927579560346,0.0,2024.963789780173,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00033,119.55705882352942,133.4135406248512,17,1.0,0.0,0.0,Debit,938.26644623966,0.0,469.13322311983,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00034,294.53444444444443,265.55940701240047,9,1.0,0.0,0.0,Debit,8690.709302298243,0.0,4345.354651149121,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00035,205.26263157894735,205.76660928888734,19,1.0,0.0,0.05263157894736842,Credit,2222.9575521450806,0.02631578947368421,1111.4919339672772,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00036,339.378,361.820633211786,10,1.0,0.0,0.1,Credit,12279.395057875445,0.05,6139.722528937722,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00037,126.625,66.22055005812017,2,1.0,0.0,0.0,Debit,4192.586479261493,0.0,2096.2932396307465,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00038,302.17,2.8942586845914993,4,1.0,0.0,0.0,Debit,218.63948202088284,0.0,109.31974101044142,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00039,260.7655555555555,235.8906386248714,18,1.7222222222222223,0.0,0.0,Debit,3417.3416674459836,0.0,1708.6708337229918,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00040,644.9518181818182,481.78939865501775,11,1.0,0.0,0.0,Debit,28248.265490455735,0.0,14124.132745227867,High-Value At Risk,Proactive Outreach,Premium fraud protection + rewards,Dedicated manager,15–20%
AC00041,134.74117647058824,125.5514082399294,17,1.0,0.0,0.0,Debit,995.1143210984042,0.0,497.5571605492021,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00042,222.42,94.27770670640108,12,1.0,0.0,0.0,Debit,1747.4371481833816,0.0,873.7185740916908,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00043,545.1858333333333,201.17418903926531,12,1.25,0.0,0.08333333333333333,Debit,9139.775729729472,0.041666666666666664,4569.908698198069,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00044,502.4,21.32634052058631,2,1.0,0.0,0.0,Debit,5357.17406018425,0.0,2678.587030092125,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00045,451.15363636363634,418.8690980073065,11,1.0,0.0,0.0,Debit,17179.48177698827,0.0,8589.740888494134,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00046,356.65000000000003,508.7564858554631,3,1.0,0.0,0.0,Debit,60482.646732568064,0.0,30241.323366284032,High-Value At Risk,Proactive Outreach,Premium fraud protection + rewards,Dedicated manager,15–20%
AC00047,337.71250000000003,219.31058035767035,12,1.0,0.0,0.0,Debit,6171.993183087215,0.0,3085.9965915436073,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00048,425.5155555555556,509.96220955849054,9,1.0,0.0,0.0,Debit,24110.758755762337,0.0,12055.379377881169,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00049,543.8933333333333,56.89407028270462,3,1.0,0.0,0.0,Debit,10314.765072732027,0.0,5157.3825363660135,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00050,231.9253846153846,142.48176898673648,13,1.0,0.0,0.0,Debit,2541.9335793073583,0.0,1270.9667896536791,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00051,228.47,49.721168530114014,9,1.6666666666666667,0.0,0.0,Debit,1262.1993457639783,0.0,631.0996728819891,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00052,154.25272727272727,203.20747594962688,11,1.0,0.0,0.0,Debit,2849.5731379876315,0.0,1424.7865689938158,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00053,124.62944444444445,68.46477277723127,18,1.0,0.0,0.0,Debit,474.04034006672873,0.0,237.02017003336437,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00054,218.23035714285714,229.31999524329808,28,1.2142857142857142,0.0,0.0,Debit,1787.3065240941683,0.0,893.6532620470841,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00055,195.73909090909092,140.9749189362807,11,1.0,0.0,0.0,Debit,2508.5727240906954,0.0,1254.2863620453477,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00056,88.7688888888889,55.06195685598594,18,1.0,0.0,0.0,Debit,271.54380325611146,0.0,135.77190162805573,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00057,210.26066666666665,197.97824319377932,15,1.3333333333333333,0.0,0.0,Debit,2775.1356416189237,0.0,1387.5678208094619,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00058,241.78555555555556,170.6173020404307,18,1.0,0.0,0.05555555555555555,Debit,2291.822048300751,0.027777777777777776,1145.9249130392643,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00059,147.82642857142858,119.95284295262695,14,1.0,0.0,0.0,Debit,1266.5856502921893,0.0,633.2928251460946,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00060,396.1433333333333,213.25809902557043,9,1.4444444444444444,0.0,0.0,Debit,9386.75164684088,0.0,4693.37582342044,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00061,159.998,168.03188075812014,10,1.0,0.0,0.0,Debit,2688.4762169061487,0.0,1344.2381084530743,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00062,194.52875,170.1910228820629,8,1.0,0.0,0.0,Debit,4138.380350511094,0.0,2069.190175255547,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00063,361.51347826086953,331.7582346804083,23,1.173913043478261,0.0,0.043478260869565216,Debit,5214.568180279654,0.021739130434782608,2607.2949597050447,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00064,300.2966666666667,267.94453689149924,9,1.0,0.0,0.0,Debit,8940.315815527234,0.0,4470.157907763617,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00065,203.04533333333333,87.01189285434053,15,1.0,0.0,0.0,Debit,1177.8238407166677,0.0,588.9119203583339,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00066,231.015,130.1704502495932,12,1.0,0.0,0.0,Debit,2505.9436715388415,0.0,1252.9718357694207,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00067,626.6682352941177,481.4081963785423,17,1.0,0.0,0.058823529411764705,Debit,17746.071007917304,0.029411764705882353,8873.050209841005,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00068,581.7684615384616,365.1401914755061,13,1.0,0.0,0.07692307692307693,Debit,16340.540853847968,0.038461538461538464,8170.289657693214,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00069,266.1531578947368,211.71070938252382,19,1.0,0.0,0.0,Debit,2965.656362980907,0.0,1482.8281814904535,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00070,194.04291666666666,234.43695651087035,24,1.375,0.0,0.041666666666666664,Debit,1895.4512050156068,0.020833333333333332,947.73601917447,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00071,512.2520833333334,552.856535655689,24,2.3333333333333335,0.0,0.0,Debit,11800.079182249867,0.0,5900.039591124933,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00072,385.9871428571428,299.7353030433288,7,1.0,0.0,0.0,Debit,16527.708101058037,0.0,8263.854050529018,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00073,384.0333333333333,360.9814969655857,12,1.0,0.0,0.0,Debit,11552.409666578396,0.0,5776.204833289198,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00074,151.10999999999999,121.07684378112936,7,1.0,0.0,0.0,Debit,2613.702750009101,0.0,1306.8513750045504,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00075,263.79285714285714,255.3717978353724,14,1.0,0.0,0.07142857142857142,Debit,4811.803669492666,0.03571428571428571,2405.9196918891903,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00076,225.06214285714285,157.46724979053076,14,1.0,0.0,0.07142857142857142,Debit,2531.422438303957,0.03571428571428571,1265.7290762948355,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00077,271.6,235.71715243061973,13,1.2307692307692308,0.0,0.0,Debit,4924.674898113956,0.0,2462.337449056978,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00078,375.53066666666666,317.9741661219546,15,1.0,0.0,0.0,Debit,7960.602841730147,0.0,3980.3014208650734,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00079,60.544666666666664,70.44562227772028,15,1.0,0.0,0.0,Credit,284.34042897267017,0.0,142.17021448633508,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00080,452.3186666666667,401.6707017457863,15,1.0,0.0,0.0,Debit,12112.209609367252,0.0,6056.104804683626,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00081,171.2342857142857,157.14314735903935,7,1.0,0.0,0.0,Debit,3844.041535554044,0.0,1922.020767777022,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00082,211.47833333333332,163.6842815198413,6,1.0,0.0,0.0,Debit,5769.278879900215,0.0,2884.6394399501073,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00083,395.9576923076923,423.2883228004651,13,1.2307692307692308,0.0,0.0,Debit,12892.63496801775,0.0,6446.317484008875,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00084,400.07599999999996,222.0717534491949,5,1.0,0.0,0.0,Debit,17769.112212765573,0.0,8884.556106382786,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00085,270.8036363636364,207.98786893820167,11,1.0,0.0,0.0,Debit,5120.3514643306335,0.0,2560.1757321653167,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00086,439.22812500000003,420.3489736432298,16,1.5,0.0,0.0,Debit,11539.317499979545,0.0,5769.658749989772,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00087,188.7357894736842,170.4418536665409,19,1.0,0.0,0.05263157894736842,Debit,1693.077690422898,0.02631578947368421,846.5520031061859,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00088,256.77,55.38060310253038,2,1.0,0.0,0.0,Debit,7110.035174300774,0.0,3555.017587150387,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00089,208.04266666666666,117.37875059984643,15,2.066666666666667,0.0,0.0,Debit,1627.985777120525,0.0,813.9928885602625,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00090,345.6791304347826,303.64672006840516,23,1.0,0.0,0.08695652173913043,Debit,4563.66650386755,0.043478260869565216,2281.85499106421,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00091,457.88444444444445,448.52491834654825,9,1.0,0.0,0.0,Debit,22819.17335971397,0.0,11409.586679856984,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00092,267.80541666666664,253.0372085025745,24,1.0,0.0,0.041666666666666664,Debit,2823.5305096529855,0.020833333333333332,1411.7756714931595,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00093,303.74823529411765,299.5368843572376,17,1.3529411764705883,0.0,0.0,Debit,5351.987922177717,0.0,2675.9939610888587,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00094,72.74066666666666,41.05705585204686,15,1.0,0.0,0.0,Debit,199.10116099648633,0.0,99.55058049824316,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00095,389.6876470588236,446.1550802345723,17,1.0,0.0,0.0,Debit,10227.124306636872,0.0,5113.562153318436,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00096,288.552,181.96149188465367,10,1.0,0.0,0.1,Debit,5250.534715576588,0.05,2625.292357788294,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00097,98.72,83.85840884093457,10,1.0,0.0,0.0,Debit,827.8501292926932,0.0,413.9250646463466,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00098,539.956875,527.1583661572519,16,1.0,0.0,0.0,Debit,17790.17288938766,0.0,8895.08644469383,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00099,664.5500000000001,411.5232508376653,11,1.0,0.0,0.0,Debit,24861.61377114152,0.0,12430.80688557076,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00100,175.56857142857143,61.51103760805086,7,1.1428571428571428,0.0,0.0,Debit,1542.771922451814,0.0,771.385961225907,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00101,89.6525,52.292208709010055,4,1.0,0.0,0.0,Credit,1172.0315173132515,0.0,586.0157586566257,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00102,139.762,102.20762048127548,10,1.0,0.0,0.0,Debit,1428.4740025230024,0.0,714.2370012615012,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00103,459.34615384615387,290.38992775629754,13,1.0,0.0,0.0,Debit,10260.729705368312,0.0,5130.364852684156,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00104,275.2,0.0,1,1.0,0.0,0.0,Debit,0.0,0.0,0.0,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00105,130.76,8.011917260045696,12,1.0,0.0,0.08333333333333333,Debit,87.3031844683659,0.041666666666666664,43.672425567516285,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00106,346.55545454545455,193.73361656478912,11,1.0,0.0,0.0,Debit,6103.585040523661,0.0,3051.7925202618303,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00107,483.77650000000006,709.4587356219268,20,1.0,0.0,0.0,Debit,17160.972342631438,0.0,8580.486171315719,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00108,346.39866666666666,243.6760331982571,15,1.8,0.0,0.0,Debit,5627.26982474859,0.0,2813.634912374295,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00109,197.37333333333333,183.67389097709741,6,1.0,0.0,0.0,Credit,6042.053677733215,0.0,3021.0268388666077,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00110,389.25636363636363,437.6855919326732,11,1.1818181818181819,0.0,0.0,Debit,15488.35331303531,0.0,7744.176656517655,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00111,381.97117647058826,548.2441914293569,17,1.0,0.0,0.0,Debit,12318.439204411685,0.0,6159.219602205842,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00112,579.55,35.9210244842767,2,1.0,0.0,0.0,Debit,10409.009665426445,0.0,5204.504832713223,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00113,324.5892857142857,180.9173978734403,14,1.0,0.0,0.0,Debit,4194.560339604778,0.0,2097.280169802389,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00114,318.5952631578947,361.1325926299773,19,1.0,0.0,0.10526315789473684,Debit,6055.533017279336,0.05263157894736842,3027.7928244291415,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00115,155.64285714285714,187.86472302468832,7,1.0,0.0,0.0,Credit,4177.114010114283,0.0,2088.5570050571414,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00116,239.14565217391305,145.51737646399633,23,1.0,0.0,0.0,Debit,1513.0367993079315,0.0,756.5183996539657,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00117,55.32,0.0,1,1.0,0.0,0.0,Debit,0.0,0.0,0.0,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00118,287.71636363636367,268.98777389586786,11,1.0,0.0,0.0,Debit,7035.652466573367,0.0,3517.8262332866834,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00119,232.9788888888889,254.24958837120678,18,1.0,0.0,0.05555555555555555,Debit,3290.821294908879,0.027777777777777776,1645.4245363433283,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00120,330.6415,202.89210905967784,20,1.1,0.0,0.0,Debit,3354.2273961714036,0.0,1677.1136980857018,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00121,147.365,93.89670947376163,2,1.0,0.0,0.0,Credit,6918.540836530023,0.0,3459.2704182650114,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00122,299.5730769230769,231.13719592428993,13,1.0,0.0,0.0,Debit,5326.344280620563,0.0,2663.1721403102815,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00123,283.18,232.47082635605412,16,1.0,0.0,0.0,Debit,4114.442780816539,0.0,2057.2213904082696,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00124,292.84166666666664,332.27478652555936,12,2.0,0.0,0.0,Debit,8108.657847399819,0.0,4054.3289236999094,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00125,171.82928571428573,154.41928992017333,14,1.0,0.0,0.07142857142857142,Credit,1895.2681708730297,0.03571428571428571,947.651942579372,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00126,165.80411764705883,144.809925680995,17,1.0,0.0,0.058823529411764705,Credit,1412.3576789244626,0.029411764705882353,706.1935453445842,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00127,361.5566666666667,276.49918717180105,6,1.0,0.0,0.0,Debit,16661.68463136575,0.0,8330.842315682876,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00128,468.34866666666665,373.6253824710878,15,1.0,0.0,0.0,Debit,11665.795869824098,0.0,5832.897934912049,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00129,266.8966666666667,189.73968423869584,9,1.0,0.0,0.0,Debit,5626.764847880995,0.0,2813.3824239404976,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00130,291.98391304347825,166.4291697755352,23,1.173913043478261,0.0,0.08695652173913043,Debit,2112.810353166426,0.043478260869565216,1056.4269157136478,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00131,315.16615384615386,241.74484725969936,26,1.0,0.0,0.0,Debit,2930.376568945723,0.0,1465.1882844728616,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00132,125.53800000000001,82.81433152943194,10,1.0,0.0,0.0,Credit,1039.6344511907378,0.0,519.8172255953689,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00133,178.75,125.34592043620727,21,1.0,0.0,0.047619047619047616,Debit,1066.932486239979,0.023809523809523808,533.4781478818943,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00134,47.9875,1.5047563479403125,4,1.0,0.0,0.0,Debit,18.052369298604113,0.0,9.026184649302056,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00135,72.945,47.07209842358847,2,1.0,0.0,0.0,Credit,1716.8362513362047,0.0,858.4181256681023,Dormant/New Customer,Engagement Campaign,Cashback incentives,Onboarding support,20–25%
AC00136,491.4004761904762,290.85130744894707,21,1.0,0.0,0.047619047619047616,Credit,6805.926865481348,0.023809523809523808,3402.9753375025784,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00137,125.71700000000001,156.33264811861207,10,1.0,0.0,0.0,Debit,1965.36695581606,0.0,982.68347790803,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00138,199.86666666666667,155.08904328374285,6,1.5,0.0,0.0,Credit,5166.18749190943,0.0,2583.093745954715,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00139,147.80960000000002,168.28521252326362,25,1.8,0.0,0.0,Debit,994.9667581604732,0.0,497.4833790802366,Security Concern,Security Education,Free security audit,Alerts via SMS/email,10–15%
AC00140,174.16923076923075,66.93082678675779,13,1.0,0.0,0.0,Debit,896.7145938064334,0.0,448.3572969032167,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00141,188.0253846153846,213.7916541719759,13,1.0,0.0,0.0,Debit,3092.1734546978164,0.0,1546.0867273489082,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
AC00142,270.39666666666665,268.3985007906465,6,1.0,0.0,0.0,Credit,12095.674642741144,0.0,6047.837321370572,Standard Customer,Regular Monitoring,Loyalty rewards,Monthly insights,5–10%
